"clinical_scenario","true_hr","hazard_trend","situation","method","mean_hr","sd_hr","median_hr","bias","abs_bias","pct_bias","rmse","n_sims"
"Healthier_Harms",1.5,"Constant","Conventional","Naive",0.617,0.045,0.617,-0.883,0.883,-58.9,0.884,100
"Healthier_Harms",1.5,"Constant","Conventional","Adj",1.353,0.128,1.366,-0.147,0.147,-9.8,0.194,100
"Healthier_Harms",1.5,"Constant","Conventional","PSM",1.297,0.152,1.294,-0.203,0.203,-13.6,0.254,100
"Healthier_Harms",1.5,"Constant","Conventional","IPTW",1.424,0.228,1.39,-0.076,0.076,-5.1,0.239,100
"Healthier_Harms",1.5,"Constant","Conventional","SMR",1.331,0.213,1.301,-0.169,0.169,-11.2,0.27,100
"Healthier_Harms",1.5,"Constant","SMARTS","Naive",0.618,0.043,0.62,-0.882,0.882,-58.8,0.883,100
"Healthier_Harms",1.5,"Constant","SMARTS","Adj",1.439,0.147,1.429,-0.061,0.061,-4.1,0.159,100
"Healthier_Harms",1.5,"Constant","SMARTS","PSM",1.376,0.152,1.364,-0.124,0.124,-8.3,0.195,100
"Healthier_Harms",1.5,"Constant","SMARTS","IPTW",1.457,0.231,1.42,-0.043,0.043,-2.8,0.234,100
"Healthier_Harms",1.5,"Constant","SMARTS","SMR",1.421,0.225,1.403,-0.079,0.079,-5.3,0.237,100
"Healthier_Harms",1.5,"Increasing","Conventional","Naive",0.836,0.049,0.836,-0.664,0.664,-44.3,0.666,100
"Healthier_Harms",1.5,"Increasing","Conventional","Adj",1.824,0.133,1.835,0.324,0.324,21.6,0.35,100
"Healthier_Harms",1.5,"Increasing","Conventional","PSM",1.705,0.147,1.709,0.205,0.205,13.7,0.252,100
"Healthier_Harms",1.5,"Increasing","Conventional","IPTW",1.796,0.192,1.791,0.296,0.296,19.7,0.352,100
"Healthier_Harms",1.5,"Increasing","Conventional","SMR",1.716,0.263,1.72,0.216,0.216,14.4,0.339,100
"Healthier_Harms",1.5,"Increasing","SMARTS","Naive",0.633,0.037,0.634,-0.867,0.867,-57.8,0.868,100
"Healthier_Harms",1.5,"Increasing","SMARTS","Adj",1.435,0.104,1.433,-0.065,0.065,-4.4,0.122,100
"Healthier_Harms",1.5,"Increasing","SMARTS","PSM",1.361,0.099,1.361,-0.139,0.139,-9.3,0.171,100
"Healthier_Harms",1.5,"Increasing","SMARTS","IPTW",1.408,0.141,1.4,-0.092,0.092,-6.1,0.168,100
"Healthier_Harms",1.5,"Increasing","SMARTS","SMR",1.367,0.177,1.351,-0.133,0.133,-8.9,0.221,100
"Healthier_Harms",1.5,"Decreasing","Conventional","Naive",0.256,0.028,0.257,-1.244,1.244,-82.9,1.244,100
"Healthier_Harms",1.5,"Decreasing","Conventional","Adj",0.559,0.08,0.562,-0.941,0.941,-62.7,0.944,100
"Healthier_Harms",1.5,"Decreasing","Conventional","PSM",0.552,0.091,0.547,-0.948,0.948,-63.2,0.952,100
"Healthier_Harms",1.5,"Decreasing","Conventional","IPTW",0.612,0.179,0.582,-0.888,0.888,-59.2,0.905,100
"Healthier_Harms",1.5,"Decreasing","Conventional","SMR",0.542,0.112,0.546,-0.958,0.958,-63.8,0.964,100
"Healthier_Harms",1.5,"Decreasing","SMARTS","Naive",0.597,0.07,0.588,-0.903,0.903,-60.2,0.906,100
"Healthier_Harms",1.5,"Decreasing","SMARTS","Adj",1.407,0.223,1.39,-0.093,0.093,-6.2,0.24,100
"Healthier_Harms",1.5,"Decreasing","SMARTS","PSM",1.375,0.237,1.358,-0.125,0.125,-8.3,0.266,100
"Healthier_Harms",1.5,"Decreasing","SMARTS","IPTW",1.459,0.463,1.359,-0.041,0.041,-2.7,0.462,100
"Healthier_Harms",1.5,"Decreasing","SMARTS","SMR",1.397,0.355,1.347,-0.103,0.103,-6.9,0.368,100
"Sicker_Helps",0.7,"Constant","Conventional","Naive",1.736,0.099,1.726,1.036,1.036,148,1.041,100
"Sicker_Helps",0.7,"Constant","Conventional","Adj",0.778,0.05,0.776,0.078,0.078,11.1,0.092,100
"Sicker_Helps",0.7,"Constant","Conventional","PSM",0.85,0.067,0.843,0.15,0.15,21.5,0.164,100
"Sicker_Helps",0.7,"Constant","Conventional","IPTW",0.801,0.079,0.804,0.101,0.101,14.5,0.128,100
"Sicker_Helps",0.7,"Constant","Conventional","SMR",0.852,0.107,0.862,0.152,0.152,21.7,0.186,100
"Sicker_Helps",0.7,"Constant","SMARTS","Naive",1.745,0.095,1.746,1.045,1.045,149.3,1.049,100
"Sicker_Helps",0.7,"Constant","SMARTS","Adj",0.747,0.054,0.735,0.047,0.047,6.7,0.071,100
"Sicker_Helps",0.7,"Constant","SMARTS","PSM",0.816,0.059,0.813,0.116,0.116,16.6,0.13,100
"Sicker_Helps",0.7,"Constant","SMARTS","IPTW",0.775,0.079,0.771,0.075,0.075,10.7,0.108,100
"Sicker_Helps",0.7,"Constant","SMARTS","SMR",0.819,0.099,0.8,0.119,0.119,17,0.154,100
"Sicker_Helps",0.7,"Increasing","Conventional","Naive",2.286,0.106,2.281,1.586,1.586,226.6,1.59,100
"Sicker_Helps",0.7,"Increasing","Conventional","Adj",1.065,0.063,1.067,0.365,0.365,52.1,0.37,100
"Sicker_Helps",0.7,"Increasing","Conventional","PSM",1.139,0.073,1.128,0.439,0.439,62.7,0.445,100
"Sicker_Helps",0.7,"Increasing","Conventional","IPTW",1.063,0.111,1.049,0.363,0.363,51.8,0.379,100
"Sicker_Helps",0.7,"Increasing","Conventional","SMR",1.149,0.135,1.14,0.449,0.449,64.1,0.468,100
"Sicker_Helps",0.7,"Increasing","SMARTS","Naive",1.739,0.086,1.741,1.039,1.039,148.5,1.043,100
"Sicker_Helps",0.7,"Increasing","SMARTS","Adj",0.757,0.047,0.762,0.057,0.057,8.1,0.073,100
"Sicker_Helps",0.7,"Increasing","SMARTS","PSM",0.82,0.052,0.82,0.12,0.12,17.1,0.13,100
"Sicker_Helps",0.7,"Increasing","SMARTS","IPTW",0.777,0.074,0.781,0.077,0.077,11,0.107,100
"Sicker_Helps",0.7,"Increasing","SMARTS","SMR",0.822,0.074,0.82,0.122,0.122,17.4,0.142,100
"Sicker_Helps",0.7,"Decreasing","Conventional","Naive",0.7,0.053,0.706,0,0,-0.1,0.053,100
"Sicker_Helps",0.7,"Decreasing","Conventional","Adj",0.315,0.029,0.313,-0.385,0.385,-55,0.386,100
"Sicker_Helps",0.7,"Decreasing","Conventional","PSM",0.358,0.04,0.359,-0.342,0.342,-48.9,0.344,100
"Sicker_Helps",0.7,"Decreasing","Conventional","IPTW",0.338,0.045,0.335,-0.362,0.362,-51.8,0.365,100
"Sicker_Helps",0.7,"Decreasing","Conventional","SMR",0.351,0.053,0.349,-0.349,0.349,-49.9,0.353,100
"Sicker_Helps",0.7,"Decreasing","SMARTS","Naive",1.613,0.143,1.615,0.913,0.913,130.4,0.923,100
"Sicker_Helps",0.7,"Decreasing","SMARTS","Adj",0.699,0.074,0.687,-0.001,0.001,-0.2,0.073,100
"Sicker_Helps",0.7,"Decreasing","SMARTS","PSM",0.775,0.086,0.763,0.075,0.075,10.8,0.114,100
"Sicker_Helps",0.7,"Decreasing","SMARTS","IPTW",0.727,0.096,0.728,0.027,0.027,3.8,0.099,100
"Sicker_Helps",0.7,"Decreasing","SMARTS","SMR",0.76,0.133,0.756,0.06,0.06,8.6,0.145,100
