"clinical_scenario","true_hr","hazard_trend","method","bias_Conventional","bias_SMARTS","abs_bias_Conventional","abs_bias_SMARTS","bias_reduction","pct_improvement"
"Healthier_Harms",1.5,"Constant","Naive",-0.883,-0.882,0.883,0.882,0.002,0.2
"Healthier_Harms",1.5,"Constant","Adj",-0.147,-0.061,0.147,0.061,0.085,58.1
"Healthier_Harms",1.5,"Constant","PSM",-0.203,-0.124,0.203,0.124,0.079,39
"Healthier_Harms",1.5,"Constant","IPTW",-0.076,-0.043,0.076,0.043,0.033,44
"Healthier_Harms",1.5,"Constant","SMR",-0.169,-0.079,0.169,0.079,0.089,52.9
"Healthier_Harms",1.5,"Increasing","Naive",-0.664,-0.867,0.664,0.867,-0.203,-30.6
"Healthier_Harms",1.5,"Increasing","Adj",0.324,-0.065,0.324,0.065,0.259,79.8
"Healthier_Harms",1.5,"Increasing","PSM",0.205,-0.139,0.205,0.139,0.066,32
"Healthier_Harms",1.5,"Increasing","IPTW",0.296,-0.092,0.296,0.092,0.204,68.9
"Healthier_Harms",1.5,"Increasing","SMR",0.216,-0.133,0.216,0.133,0.083,38.3
"Healthier_Harms",1.5,"Decreasing","Naive",-1.244,-0.903,1.244,0.903,0.34,27.4
"Healthier_Harms",1.5,"Decreasing","Adj",-0.941,-0.093,0.941,0.093,0.848,90.1
"Healthier_Harms",1.5,"Decreasing","PSM",-0.948,-0.125,0.948,0.125,0.823,86.9
"Healthier_Harms",1.5,"Decreasing","IPTW",-0.888,-0.041,0.888,0.041,0.847,95.4
"Healthier_Harms",1.5,"Decreasing","SMR",-0.958,-0.103,0.958,0.103,0.855,89.3
"Sicker_Helps",0.7,"Constant","Naive",1.036,1.045,1.036,1.045,-0.009,-0.9
"Sicker_Helps",0.7,"Constant","Adj",0.078,0.047,0.078,0.047,0.031,40.1
"Sicker_Helps",0.7,"Constant","PSM",0.15,0.116,0.15,0.116,0.034,22.6
"Sicker_Helps",0.7,"Constant","IPTW",0.101,0.075,0.101,0.075,0.026,26.2
"Sicker_Helps",0.7,"Constant","SMR",0.152,0.119,0.152,0.119,0.033,21.8
"Sicker_Helps",0.7,"Increasing","Naive",1.586,1.039,1.586,1.039,0.547,34.5
"Sicker_Helps",0.7,"Increasing","Adj",0.365,0.057,0.365,0.057,0.308,84.5
"Sicker_Helps",0.7,"Increasing","PSM",0.439,0.12,0.439,0.12,0.319,72.7
"Sicker_Helps",0.7,"Increasing","IPTW",0.363,0.077,0.363,0.077,0.286,78.8
"Sicker_Helps",0.7,"Increasing","SMR",0.449,0.122,0.449,0.122,0.327,72.8
"Sicker_Helps",0.7,"Decreasing","Naive",0,0.913,0,0.913,-0.912,-259240.4
"Sicker_Helps",0.7,"Decreasing","Adj",-0.385,-0.001,0.385,0.001,0.384,99.7
"Sicker_Helps",0.7,"Decreasing","PSM",-0.342,0.075,0.342,0.075,0.267,78
"Sicker_Helps",0.7,"Decreasing","IPTW",-0.362,0.027,0.362,0.027,0.336,92.6
"Sicker_Helps",0.7,"Decreasing","SMR",-0.349,0.06,0.349,0.06,0.289,82.7
